"product_detail","product_type","total_transactions","total_revenue"
"Sustainably Grown Organic Lg","Hot chocolate","4453","21151.75"
"Dark chocolate Lg","Hot chocolate","4668","21006.00"
"Latte Rg","Barista Espresso","4497","19112.25"
"Cappuccino Lg","Barista Espresso","4151","17641.75"
"Morning Sunrise Chai Lg","Brewed Chai tea","4346","17384.00"
"Latte","Barista Espresso","4602","17257.50"
"Sustainably Grown Organic Rg","Hot chocolate","4329","16233.75"
"Cappuccino","Barista Espresso","4266","15997.50"
"Ethiopia Lg","Gourmet brewed coffee","4227","14794.50"
"Dark chocolate Rg","Hot chocolate","4007","14024.50"
"Spicy Eye Opener Chai Lg","Brewed Chai tea","4404","13652.40"
"Ethiopia Rg","Gourmet brewed coffee","4393","13179.00"
"Peppermint Lg","Brewed herbal tea","4350","13050.00"
"English Breakfast Lg","Brewed Black tea","4309","12927.00"
"Earl Grey Lg","Brewed Black tea","4245","12735.00"
"Columbian Medium Roast Lg","Gourmet brewed coffee","4195","12585.00"
"Traditional Blend Chai Lg","Brewed Chai tea","4174","12522.00"
"Espresso shot","Barista Espresso","4165","12495.00"
"Lemon Grass Lg","Brewed herbal tea","4089","12267.00"
"Earl Grey Rg","Brewed Black tea","4708","11770.00"
"Morning Sunrise Chai Rg","Brewed Chai tea","4643","11607.50"
"Peppermint Rg","Brewed herbal tea","4564","11410.00"
"Columbian Medium Roast Rg","Gourmet brewed coffee","4547","11367.50"
"Traditional Blend Chai Rg","Brewed Chai tea","4512","11280.00"
"Lemon Grass Rg","Brewed herbal tea","4325","10812.50"
"Spicy Eye Opener Chai Rg","Brewed Chai tea","4171","10636.05"
"English Breakfast Rg","Brewed Black tea","4200","10500.00"
"Ethiopia Sm","Gourmet brewed coffee","4433","9752.60"
"Ouro Brasileiro shot","Barista Espresso","3262","8902.20"
"Columbian Medium Roast Sm","Gourmet brewed coffee","4178","8356.00"
